dataset_type,graph_conv_layers,dense_layers,learning_rate,batch_size,dropout,train_r2,train_mae,train_rmse,valid_r2,valid_mae,valid_rmse,test_r2,test_mae,test_rmse
original,"[64, 64]",[128],0.001,64,0.001,0.975045132617732,0.3722605599296296,0.7377566025820457,0.5607871835232147,1.7178049258244914,2.922500507442148,0.5988858508928363,1.6512828221321105,2.5917113624625374
filtered,"[128, 64]",[128],0.001,64,0.001,0.9747449456053128,0.34082956436719053,0.7157730189407467,0.6175091218621147,1.7229422968072148,2.7272668528155104,0.6845884827511135,1.689029100603782,2.2982190257509405
