dataset_type,hidden_layer_sizes,alpha,train_r2,train_mae,train_rmse,valid_r2,valid_mae,valid_rmse,test_r2,test_mae,test_rmse
original,"(100,)",0.0001,0.9667723259759127,0.1756688606340914,0.851305506244957,0.15240292188295212,2.8254547531707264,4.0598671117349445,0.24865856013408338,2.3749041709977634,3.547082692769426
filtered,"(100,)",0.0001,0.9637570757280635,0.16685968650649624,0.8574578592114184,0.1015405988600363,2.9078029341180147,4.17990413653468,0.3498982831306626,2.1741050845989998,3.299463271773088
